Neighborhood,Latitude,Longitude,City,1th Most Common Venues,2th Most Common Venues,3th Most Common Venues,4th Most Common Venues,5th Most Common Venues,6th Most Common Venues,7th Most Common Venues,8th Most Common Venues,9th Most Common Venues,10th Most Common Venues,Cluster
Murray Hill,40.764126122614066,-73.81276269135866,NYC,Korean Restaurant,Coffee Shop,Gym / Fitness Center,Hotel,Japanese Restaurant,Pizza Place,Bank,Spa,Sushi Restaurant,Taco Place,2
Chelsea,40.744034706747975,-74.00311633472813,NYC,Art Gallery,Coffee Shop,Bakery,Ice Cream Shop,American Restaurant,Italian Restaurant,Wine Shop,French Restaurant,Steakhouse,Bookstore,2
Chelsea,40.59472602746295,-74.1895604551969,NYC,Art Gallery,Coffee Shop,Bakery,Ice Cream Shop,American Restaurant,Italian Restaurant,Wine Shop,French Restaurant,Steakhouse,Bookstore,2
Greenwich Village,40.72693288536128,-73.99991402945902,NYC,Italian Restaurant,Clothing Store,Sushi Restaurant,Dessert Shop,Café,Coffee Shop,Indian Restaurant,American Restaurant,Boutique,Cosmetics Shop,2
Enclave of M4L,43.6627439,-79.321558,Toronto,Yoga Studio,Auto Workshop,Burrito Place,Butcher,Spa,Smoke Shop,Skate Park,Restaurant,Comic Shop,Pizza Place,2
Lower East Side,40.71780674892765,-73.98089031999291,NYC,Bakery,Chinese Restaurant,Pizza Place,Sandwich Place,Art Gallery,Café,Mexican Restaurant,Tailor Shop,Mediterranean Restaurant,Shoe Store,2
Clinton,40.75910089146212,-73.99611936309479,NYC,Theater,Italian Restaurant,Sandwich Place,Coffee Shop,American Restaurant,Gym / Fitness Center,Gym,Spa,Indie Theater,Cocktail Bar,2
Little Italy,40.71932379395907,-73.99730467208073,NYC,Bakery,Italian Restaurant,Café,Pizza Place,Hotel,Spa,Tea Room,Ice Cream Shop,Sandwich Place,Coffee Shop,2
Soho,40.72218384131794,-74.00065666959759,NYC,Clothing Store,Italian Restaurant,Shoe Store,Women's Store,Bakery,Salon / Barbershop,Boutique,Dessert Shop,Mediterranean Restaurant,Café,2
West Village,40.73443393572434,-74.00617998126812,NYC,Italian Restaurant,Cocktail Bar,Park,Wine Bar,New American Restaurant,American Restaurant,Seafood Restaurant,Coffee Shop,Jazz Club,Theater,2
Manhattan Valley,40.797307041702865,-73.96428617740655,NYC,Yoga Studio,Pizza Place,Café,Mexican Restaurant,Coffee Shop,Indian Restaurant,Grocery Store,Playground,Park,Liquor Store,2
Morningside Heights,40.807999738165826,-73.96389627905332,NYC,Bookstore,Café,Burger Joint,Sandwich Place,American Restaurant,Park,Coffee Shop,Deli / Bodega,Pub,Supplement Shop,2
Gramercy,40.737209832715,-73.98137594833541,NYC,Pizza Place,Italian Restaurant,Sandwich Place,Coffee Shop,Cocktail Bar,Park,Taco Place,Ice Cream Shop,Diner,Mexican Restaurant,2
East Village,40.727846777270244,-73.98222616506416,NYC,Bar,Vegetarian / Vegan Restaurant,Wine Bar,Ice Cream Shop,Juice Bar,Korean Restaurant,Coffee Shop,Vietnamese Restaurant,Pizza Place,Mexican Restaurant,2
Tribeca,40.721521967443216,-74.01068328559087,NYC,Italian Restaurant,Spa,Park,Café,Cocktail Bar,Skate Park,Scenic Lookout,Playground,Men's Store,Hotel,2
Roosevelt Island,40.76215960576283,-73.94916769227953,NYC,Park,Coffee Shop,Dry Cleaner,Sandwich Place,Scenic Lookout,Liquor Store,Gym / Fitness Center,Gym,Outdoors & Recreation,Kosher Restaurant,2
Upper West Side,40.787657998534854,-73.97705923630603,NYC,Italian Restaurant,Bakery,Wine Bar,Café,Coffee Shop,Indian Restaurant,Vegetarian / Vegan Restaurant,Seafood Restaurant,American Restaurant,Pizza Place,2
Bergen Beach,40.61514955045308,-73.89855633630317,NYC,Harbor / Marina,Baseball Field,Athletics & Sports,Park,Hockey Field,Playground,Yoga Studio,Farm,Escape Room,Ethiopian Restaurant,2
Dumbo,40.70317632822692,-73.9887528074504,NYC,Park,Scenic Lookout,Yoga Studio,Bakery,Bookstore,Boxing Gym,Coffee Shop,Gym,Ice Cream Shop,Italian Restaurant,2
East Williamsburg,40.70849241041548,-73.93885815269195,NYC,Bakery,Bar,Mexican Restaurant,Cocktail Bar,Deli / Bodega,Café,Sandwich Place,Vegetarian / Vegan Restaurant,Record Shop,Coffee Shop,2
North Side,40.714822906532014,-73.95880857587582,NYC,Coffee Shop,Pizza Place,Yoga Studio,Bakery,Vegetarian / Vegan Restaurant,American Restaurant,Wine Bar,Sushi Restaurant,Shoe Store,Salon / Barbershop,2
South Side,40.71086147265064,-73.95800095153331,NYC,Bar,Pizza Place,American Restaurant,Coffee Shop,Wine Bar,Yoga Studio,Caribbean Restaurant,Latin American Restaurant,Grocery Store,Mexican Restaurant,2
Weeksville,40.67503986503237,-73.93053108817338,NYC,Check Cashing Service,Park,History Museum,Coffee Shop,Cocktail Bar,Discount Store,Bus Line,Gas Station,Grocery Store,Metro Station,2
Vinegar Hill,40.70332149882874,-73.98111603592393,NYC,Food Truck,Café,Coffee Shop,Bike Rental / Bike Share,Bar,Performing Arts Venue,Bakery,Scenic Lookout,Sandwich Place,Pharmacy,2
Lincoln Square,40.77352888942166,-73.98533777001262,NYC,Plaza,Café,Concert Hall,Theater,Performing Arts Venue,Gym / Fitness Center,Bakery,Park,Hotel,Indie Movie Theater,2
Chinatown,40.71561842231432,-73.99427936255978,NYC,Bakery,Chinese Restaurant,Cocktail Bar,Optical Shop,Spa,Salon / Barbershop,Ice Cream Shop,Dessert Shop,American Restaurant,New American Restaurant,2
Inwood,40.86768396449915,-73.92121042203897,NYC,Mexican Restaurant,Café,Lounge,Park,Bakery,Bank,Wine Bar,Caribbean Restaurant,Pizza Place,Deli / Bodega,2
Hamilton Heights,40.823604284811935,-73.94968791883366,NYC,Pizza Place,Sandwich Place,Mexican Restaurant,Café,Yoga Studio,Indian Restaurant,Deli / Bodega,Juice Bar,Latin American Restaurant,Cocktail Bar,2
Manhattanville,40.8169344294978,-73.9573853935188,NYC,Italian Restaurant,Mexican Restaurant,Coffee Shop,Bank,Supermarket,Bus Station,Spanish Restaurant,Sushi Restaurant,Cosmetics Shop,Chinese Restaurant,2
Central Harlem,40.81597606742414,-73.94321112603905,NYC,African Restaurant,Seafood Restaurant,French Restaurant,Fried Chicken Joint,Sandwich Place,Bar,Gym / Fitness Center,American Restaurant,Cosmetics Shop,BBQ Joint,2
Fulton Ferry,40.70328109093014,-73.99550751888415,NYC,Park,Ice Cream Shop,Pizza Place,Bakery,Scenic Lookout,Clothing Store,Coffee Shop,Italian Restaurant,Café,Seafood Restaurant,2
Upper East Side,40.775638573301805,-73.96050763135,NYC,Italian Restaurant,Spa,Bakery,Exhibit,American Restaurant,Coffee Shop,Hotel,Juice Bar,Yoga Studio,Wine Shop,2
Yorkville,40.775929849884875,-73.94711784471826,NYC,Italian Restaurant,Japanese Restaurant,Coffee Shop,Gym,Sushi Restaurant,Bar,Deli / Bodega,Diner,Wine Shop,Park,2
Washington Heights,40.85190252555305,-73.93690027985234,NYC,Café,Pizza Place,Bakery,Bank,Mobile Phone Shop,Grocery Store,Chinese Restaurant,Pharmacy,Donut Shop,Sandwich Place,2
Battery Park City,40.71193198394565,-74.01686930508617,NYC,Park,Hotel,Coffee Shop,Gym,Memorial Site,Shopping Mall,Chinese Restaurant,Plaza,Wine Shop,Playground,2
Elmhurst,40.744048505122024,-73.88165622288388,NYC,Thai Restaurant,Mexican Restaurant,Pizza Place,South American Restaurant,Indonesian Restaurant,Colombian Restaurant,Bar,Gym / Fitness Center,Malay Restaurant,Food Court,2
Astoria,40.76850859335492,-73.91565374304234,NYC,Middle Eastern Restaurant,Bar,Bakery,Greek Restaurant,Seafood Restaurant,Italian Restaurant,Hookah Bar,Indian Restaurant,Gym,Mediterranean Restaurant,2
Civic Center,40.71522892046282,-74.00541529873355,NYC,Coffee Shop,Spa,Cocktail Bar,French Restaurant,Gym / Fitness Center,Hotel,Yoga Studio,Bakery,Café,Falafel Restaurant,2
Noho,40.72325901885768,-73.98843368023597,NYC,Italian Restaurant,Cocktail Bar,Coffee Shop,Hotel,Japanese Restaurant,Grocery Store,Wine Bar,Art Gallery,Sushi Restaurant,Bookstore,2
Church and Wellesley,43.6658599,-79.38315990000001,Toronto,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Mediterranean Restaurant,Burrito Place,Gym,2
Carnegie Hill,40.7826825671257,-73.95325646837112,NYC,Coffee Shop,Pizza Place,Wine Shop,Café,Gym,Cosmetics Shop,Japanese Restaurant,French Restaurant,Sushi Restaurant,Pub,2
Steinway,40.775923015642896,-73.90228960391673,NYC,Rental Car Location,Cosmetics Shop,Deli / Bodega,Dessert Shop,Sushi Restaurant,Supermarket,Brewery,Café,Shop & Service,Discount Store,2
Charleston,40.53053148283314,-74.23215775896526,NYC,Cosmetics Shop,Shoe Store,Coffee Shop,Big Box Store,Pizza Place,Gym / Fitness Center,Bakery,Gift Shop,Hardware Store,Toy / Game Store,2
Arverne,40.58914394372971,-73.79199233136943,NYC,Surf Spot,Sandwich Place,Metro Station,Board Shop,Coffee Shop,Café,Bus Stop,Pizza Place,Beach,Playground,2
Midtown South,40.7485096643122,-73.98871313285247,NYC,Korean Restaurant,Hotel,Bakery,Hotel Bar,Gym / Fitness Center,Dessert Shop,Salad Place,Japanese Restaurant,Café,Coffee Shop,2
Rockaway Beach,40.582801696845586,-73.82236121088751,NYC,Beach,Latin American Restaurant,Fast Food Restaurant,Metro Station,Seafood Restaurant,Arepa Restaurant,BBQ Joint,Ice Cream Shop,Food Stand,Moving Target,2
Jamaica Estates,40.71680483014613,-73.7872269693666,NYC,Intersection,Indian Restaurant,Dog Run,Yoga Studio,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2
Lefrak City,40.736074570830795,-73.8625247141374,NYC,Furniture / Home Store,Ice Cream Shop,Mobile Phone Shop,Bakery,Bank,Mexican Restaurant,Liquor Store,Snack Place,Pet Store,Health & Beauty Service,2
St. George,40.6449815710044,-74.07935312512797,NYC,Clothing Store,Italian Restaurant,Bar,Sporting Goods Shop,Theater,Outlet Mall,Park,Tourist Information Center,Toy / Game Store,Scenic Lookout,2
West Brighton,40.63187892654607,-74.1071817826561,NYC,Coffee Shop,Italian Restaurant,Bank,Cosmetics Shop,Salon / Barbershop,Bar,Burger Joint,Bagel Shop,Sandwich Place,Supermarket,2
Travis,40.58631375103281,-74.19073717538116,NYC,Gym,Hotel,Bowling Alley,Deli / Bodega,Park,Baseball Field,Donut Shop,Café,Sports Club,Comedy Club,2
Silver Lake,40.61919310792676,-74.09629029235458,NYC,Golf Course,Burger Joint,American Restaurant,Yoga Studio,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,2
Tompkinsville,40.637316067110326,-74.08055351790115,NYC,Brewery,Park,Café,Gastropub,Bus Stop,Rock Club,Mexican Restaurant,Caribbean Restaurant,Liquor Store,Train Station,2
Floral Park,40.741378421945434,-73.70884705889246,NYC,Indian Restaurant,Basketball Court,Grocery Store,Playground,Salon / Barbershop,Yoga Studio,Farmers Market,English Restaurant,Escape Room,Ethiopian Restaurant,2
Financial District,40.70710710727048,-74.0106654452127,NYC,Coffee Shop,Pizza Place,Gym / Fitness Center,Cocktail Bar,Falafel Restaurant,American Restaurant,Steakhouse,Café,Plaza,Japanese Restaurant,2
Richmond Town,40.56960594275505,-74.1340572986257,NYC,Italian Restaurant,Bagel Shop,Café,Spa,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,2
Jamaica Center,40.70465736068717,-73.79690165888289,NYC,Clothing Store,Pizza Place,Coffee Shop,Sandwich Place,Kids Store,Mobile Phone Shop,Mexican Restaurant,Performing Arts Venue,Shoe Store,BBQ Joint,2
Jackson Heights,40.75198138007367,-73.88282109164365,NYC,Mobile Phone Shop,Latin American Restaurant,South American Restaurant,Peruvian Restaurant,Bakery,Grocery Store,Kids Store,Empanada Restaurant,Clothing Store,Supermarket,2
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,NYC,Café,Pizza Place,Caribbean Restaurant,Supermarket,Sushi Restaurant,Bakery,Indian Restaurant,Bookstore,Music Venue,Restaurant,2
Sunnyside Gardens,40.74565180608076,-73.91819286431682,NYC,Bar,Grocery Store,Pizza Place,Sandwich Place,Coffee Shop,American Restaurant,Turkish Restaurant,Pharmacy,Bank,Ice Cream Shop,2
Flatiron,40.739673047638426,-73.9909471052826,NYC,Italian Restaurant,American Restaurant,Spa,Japanese Restaurant,New American Restaurant,Wine Shop,Coffee Shop,Gym / Fitness Center,Mediterranean Restaurant,Art Gallery,2
Forest Hills,40.72526378216503,-73.84447500788983,NYC,Gym / Fitness Center,Yoga Studio,Asian Restaurant,Pharmacy,Convenience Store,Park,Thai Restaurant,Gym,Supermarket,Spa,2
Stuyvesant Town,40.73099955477061,-73.97405170469203,NYC,Boat or Ferry,Park,Yoga Studio,Coffee Shop,Gas Station,Bistro,Farmers Market,Bar,Harbor / Marina,Heliport,2
Tudor City,40.746917410740195,-73.97121928722265,NYC,Park,Café,Deli / Bodega,Bank,Mexican Restaurant,Ice Cream Shop,Thai Restaurant,Restaurant,Pizza Place,Gym / Fitness Center,2
Hollis,40.71124344191904,-73.75925009335594,NYC,Park,Baseball Field,Sandwich Place,Mobile Phone Shop,Asian Restaurant,Discount Store,Bakery,Lounge,Electronics Store,Shopping Mall,2
Flushing,40.76445419697846,-73.83177300329582,NYC,Korean Restaurant,Hotpot Restaurant,Chinese Restaurant,Karaoke Bar,Gym,Food Truck,Mobile Phone Shop,Construction & Landscaping,Gym / Fitness Center,Bubble Tea Shop,2
Turtle Bay,40.75204236950722,-73.96770824581834,NYC,Italian Restaurant,Deli / Bodega,Park,Sushi Restaurant,Coffee Shop,Steakhouse,French Restaurant,Seafood Restaurant,Café,Grocery Store,2
Hunters Point,40.743414090073536,-73.95386782130745,NYC,Café,Italian Restaurant,Japanese Restaurant,American Restaurant,Asian Restaurant,Bar,Brewery,Coffee Shop,Gym / Fitness Center,Yoga Studio,2
Sutton Place,40.76028033131374,-73.96355614094303,NYC,Italian Restaurant,Park,Gym / Fitness Center,Pizza Place,Spa,Steakhouse,Gym,Mexican Restaurant,Hotel,Beer Garden,2
Bayside,40.76604063281064,-73.7742736306867,NYC,Bar,Spa,Pizza Place,Ice Cream Shop,Italian Restaurant,Chinese Restaurant,Pub,Pharmacy,Mexican Restaurant,Greek Restaurant,2
Paerdegat Basin,40.63131755039667,-73.90233474295836,NYC,Other Repair Shop,Child Care Service,Auto Garage,Gym,Food,Business Service,Bus Line,Asian Restaurant,Yoga Studio,Farm,2
Emerson Hill,40.606794394801,-74.09776206972522,NYC,Casino,Food,Moving Target,Sculpture Garden,Yoga Studio,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2
Concord,40.6044731896879,-74.08402364740358,NYC,Peruvian Restaurant,Thrift / Vintage Store,Deli / Bodega,Train Station,Athletics & Sports,Grocery Store,Coffee Shop,Farm,English Restaurant,Escape Room,2
Long Island City,40.75021734610528,-73.93920223915505,NYC,Hotel,Coffee Shop,Pizza Place,Bar,Café,Gym / Fitness Center,Mexican Restaurant,Donut Shop,Sandwich Place,Climbing Gym,2
Boerum Hill,40.685682912091444,-73.98374824115798,NYC,Coffee Shop,Sandwich Place,Bar,Mobile Phone Shop,Arts & Crafts Store,Bank,Dance Studio,French Restaurant,Furniture / Home Store,Middle Eastern Restaurant,2
Lenox Hill,40.76811265828733,-73.9588596881376,NYC,Italian Restaurant,Café,Pizza Place,Sushi Restaurant,Bank,Cocktail Bar,Gym / Fitness Center,Burger Joint,Gym,Coffee Shop,2
Sea Gate,40.57637537890224,-74.0078731120024,NYC,Spa,Beach,IT Services,American Restaurant,Bus Station,Yoga Studio,Ethiopian Restaurant,Event Service,Event Space,Exhibit,2
"University of Toronto, Harbord",43.6626956,-79.4000493,Toronto,Café,Sandwich Place,Coffee Shop,Bakery,Pub,Bar,Japanese Restaurant,Beer Bar,Bank,Gym,2
"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999,Toronto,Coffee Shop,Café,Hotel,Pizza Place,Scenic Lookout,Aquarium,Italian Restaurant,Gym,Park,Restaurant,2
Spuyten Duyvil,40.88139497727086,-73.91719048210393,NYC,Bank,American Restaurant,Tennis Stadium,Intersection,Park,Pharmacy,Asian Restaurant,Thai Restaurant,Scenic Lookout,Exhibit,2
"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,Toronto,Bakery,Middle Eastern Restaurant,Bank,Pizza Place,Coffee Shop,Café,Pharmacy,Liquor Store,Grocery Store,Supermarket,2
"Richmond, Adelaide, King",43.65057120000001,-79.3845675,Toronto,Coffee Shop,Café,Sandwich Place,Clothing Store,Gym,Restaurant,Sushi Restaurant,Hotel,Japanese Restaurant,Pizza Place,2
Christie,43.669542,-79.4225637,Toronto,Grocery Store,Café,Park,Italian Restaurant,Restaurant,Nightclub,Athletics & Sports,Coffee Shop,Baby Store,Flea Market,2
"Little Portugal, Trinity",43.647926700000006,-79.4197497,Toronto,Bar,Café,Coffee Shop,Vegetarian / Vegan Restaurant,Asian Restaurant,New American Restaurant,Vietnamese Restaurant,Korean Restaurant,Mac & Cheese Joint,Malay Restaurant,2
Central Bay Street,43.6579524,-79.3873826,Toronto,Coffee Shop,Sandwich Place,Sushi Restaurant,Italian Restaurant,Café,Japanese Restaurant,Burger Joint,Bank,Salad Place,Restaurant,2
St. James Town,43.6514939,-79.3754179,Toronto,Coffee Shop,Italian Restaurant,Café,Cocktail Bar,Restaurant,Clothing Store,American Restaurant,Beer Bar,Gastropub,Cosmetics Shop,2
"Garden District, Ryerson",43.6571618,-79.37893709999999,Toronto,Coffee Shop,Sandwich Place,Clothing Store,Café,Cosmetics Shop,Pizza Place,Thai Restaurant,Bank,Hotel,Japanese Restaurant,2
"Regent Park, Harbourfront",43.6542599,-79.3606359,Toronto,Coffee Shop,Bakery,Park,Café,Pub,Restaurant,Electronics Store,Beer Store,Event Space,Asian Restaurant,2
Bay Ridge,40.625801065010656,-74.03062069353813,NYC,Italian Restaurant,Chinese Restaurant,Spa,Pizza Place,Bar,American Restaurant,Greek Restaurant,Hookah Bar,Grocery Store,Bagel Shop,2
Queensbridge,40.756091297094706,-73.94563070334091,NYC,Hotel,Sandwich Place,Roof Deck,Platform,Basketball Court,Gym / Fitness Center,Performing Arts Venue,Park,Cocktail Bar,Scenic Lookout,2
Greenpoint,40.7302009848647,-73.95424093127393,NYC,Bar,Pizza Place,Coffee Shop,Cocktail Bar,Mexican Restaurant,Record Shop,Yoga Studio,Liquor Store,French Restaurant,Restaurant,2
The Beaches,43.67635739999999,-79.2930312,Toronto,Health Food Store,Construction & Landscaping,Pub,Fast Food Restaurant,Empanada Restaurant,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2
Downtown,40.69084402109802,-73.98346337431099,NYC,Chinese Restaurant,Coffee Shop,Sandwich Place,Burger Joint,Bank,American Restaurant,Arts & Crafts Store,Bakery,Pizza Place,Caribbean Restaurant,2
"The Danforth West, Riverdale",43.6795571,-79.352188,Toronto,Greek Restaurant,Coffee Shop,Italian Restaurant,Ice Cream Shop,Bank,Sushi Restaurant,Spa,Sandwich Place,Restaurant,Pub,2
"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,Toronto,Coffee Shop,Café,Hotel,Sandwich Place,Asian Restaurant,Restaurant,Deli / Bodega,Salad Place,Pharmacy,Japanese Restaurant,2
"Parkdale, Roncesvalles",43.6489597,-79.456325,Toronto,Coffee Shop,Cuban Restaurant,Restaurant,Movie Theater,Bar,Bank,Eastern European Restaurant,Dog Run,Dessert Shop,Breakfast Spot,2
"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,Toronto,Sandwich Place,Café,Coffee Shop,BBQ Joint,Pharmacy,Pizza Place,Middle Eastern Restaurant,Liquor Store,Park,Pet Store,2
North Toronto West,43.7153834,-79.40567840000001,Toronto,Sporting Goods Shop,Coffee Shop,Pet Store,Park,Clothing Store,Café,Spa,Diner,Fast Food Restaurant,Chinese Restaurant,2
"High Park, The Junction South",43.6616083,-79.46476329999999,Toronto,Café,Mexican Restaurant,Bar,Italian Restaurant,Bakery,Diner,Fast Food Restaurant,Cajun / Creole Restaurant,Speakeasy,Fried Chicken Joint,2
Forest Hill North & West,43.6969476,-79.41130720000001,Toronto,Trail,Sushi Restaurant,Jewelry Store,Bus Line,Yoga Studio,Field,Escape Room,Ethiopian Restaurant,Event Service,Event Space,2
Davisville North,43.7127511,-79.3901975,Toronto,Playground,Breakfast Spot,Food & Drink Shop,Gym / Fitness Center,Park,Department Store,Sandwich Place,Pizza Place,Hotel,Factory,2
Roselawn,43.7116948,-79.41693559999999,Toronto,Health & Beauty Service,Garden,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,2
Studio District,43.6595255,-79.340923,Toronto,Coffee Shop,Bakery,Café,Gastropub,Italian Restaurant,Middle Eastern Restaurant,Latin American Restaurant,Cheese Shop,Comfort Food Restaurant,Fish Market,2
Port Morris,40.801663627756206,-73.91322139386135,NYC,Furniture / Home Store,Peruvian Restaurant,Distillery,Spanish Restaurant,Grocery Store,Bar,Brewery,Donut Shop,Latin American Restaurant,Storage Facility,2
"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001,Toronto,Coffee Shop,Café,Sandwich Place,Hotel,Restaurant,Gym,Japanese Restaurant,Deli / Bodega,Cocktail Bar,Bank,2
Hunts Point,40.80972987938709,-73.88331505955291,NYC,Waste Facility,Seafood Restaurant,Pizza Place,Café,Gourmet Shop,Grocery Store,Juice Bar,Farmers Market,Bank,BBQ Joint,2
Davisville,43.7043244,-79.3887901,Toronto,Café,Sandwich Place,Pizza Place,Sushi Restaurant,Thai Restaurant,Coffee Shop,Dessert Shop,Toy / Game Store,Pharmacy,Seafood Restaurant,2
"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,Toronto,Fast Food Restaurant,Park,Italian Restaurant,Restaurant,Steakhouse,Pet Store,Liquor Store,Coffee Shop,Sandwich Place,Movie Theater,2
"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,Toronto,Breakfast Spot,Café,Bakery,Coffee Shop,Sandwich Place,Italian Restaurant,Restaurant,Nightclub,Furniture / Home Store,Grocery Store,2
Throgs Neck,40.81510925804005,-73.81635002158441,NYC,Italian Restaurant,Sports Bar,Coffee Shop,Asian Restaurant,Pizza Place,Home Service,Mobile Phone Shop,American Restaurant,Bar,Juice Bar,2
Hudson Yards,40.75665808227519,-74.00011136202637,NYC,American Restaurant,Gym / Fitness Center,Italian Restaurant,Restaurant,Hotel,Boat or Ferry,Burger Joint,Gym,Coffee Shop,Park,2
Sheepshead Bay,40.58689012678384,-73.94318640482979,NYC,Turkish Restaurant,Dessert Shop,Yoga Studio,Grocery Store,Russian Restaurant,Restaurant,Pizza Place,Outlet Store,Miscellaneous Shop,Hotel,2
Berczy Park,43.644770799999996,-79.3733064,Toronto,Cocktail Bar,Sandwich Place,Coffee Shop,Bakery,Seafood Restaurant,Farmers Market,Beer Bar,Vegetarian / Vegan Restaurant,Cheese Shop,Thai Restaurant,2
"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,Toronto,Café,Vegetarian / Vegan Restaurant,Coffee Shop,Vietnamese Restaurant,Bar,Thai Restaurant,Burger Joint,Mexican Restaurant,Gaming Cafe,Belgian Restaurant,2
Clinton Hill,40.693229421881504,-73.96784306216367,NYC,Pizza Place,Italian Restaurant,Wine Shop,Japanese Restaurant,Grocery Store,Mexican Restaurant,Caribbean Restaurant,Thai Restaurant,Indian Restaurant,Sandwich Place,2
"First Canadian Place, Underground city",43.6484292,-79.3822802,Toronto,Coffee Shop,Sandwich Place,Café,Hotel,Japanese Restaurant,Bank,Gym,Restaurant,Asian Restaurant,Sushi Restaurant,2
Egbertville,40.579118742961214,-74.12727240604946,NYC,Italian Restaurant,Bagel Shop,Cosmetics Shop,Clothing Store,Field,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,2
"St. James Town, Cabbagetown",43.667967,-79.3676753,Toronto,Coffee Shop,Bakery,Italian Restaurant,Café,Pub,Pizza Place,Restaurant,Chinese Restaurant,Sandwich Place,Park,2
Enclave of M5E,43.6464352,-79.37484599999999,Toronto,Sandwich Place,Coffee Shop,Cocktail Bar,Italian Restaurant,Bank,Bakery,Café,Japanese Restaurant,Beer Bar,Hotel,2
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,Toronto,Airport Service,Airport Lounge,Sculpture Garden,Plane,Boat or Ferry,Harbor / Marina,Boutique,Rental Car Location,Airport Terminal,Coffee Shop,2
Coney Island,40.57429256471601,-73.98868295821637,NYC,Monument / Landmark,Beach,Italian Restaurant,Smoke Shop,Music Venue,Food Stand,Café,Caribbean Restaurant,Baseball Stadium,Theme Park Ride / Attraction,2
